case_id,Location,Wall_Rvalue,WWR,SHGC,Occupancy_Density,Lights_Density,Cooling_Setpoint
0,San Francisco,14.3,0.25,0.25,0.04,7.5,24
1,San Francisco,14.3,0.25,0.25,0.04,7.5,26
2,San Francisco,14.3,0.25,0.25,0.04,7.5,28
3,San Francisco,14.3,0.25,0.25,0.04,9.0,24
4,San Francisco,14.3,0.25,0.25,0.04,9.0,26
5,San Francisco,14.3,0.25,0.25,0.04,9.0,28
6,San Francisco,14.3,0.25,0.25,0.06,7.5,24
7,San Francisco,14.3,0.25,0.25,0.06,7.5,26
8,San Francisco,14.3,0.25,0.25,0.06,7.5,28
9,San Francisco,14.3,0.25,0.25,0.06,9.0,24
10,San Francisco,14.3,0.25,0.25,0.06,9.0,26
11,San Francisco,14.3,0.25,0.25,0.06,9.0,28
12,San Francisco,14.3,0.25,0.25,0.08,7.5,24
13,San Francisco,14.3,0.25,0.25,0.08,7.5,26
14,San Francisco,14.3,0.25,0.25,0.08,7.5,28
15,San Francisco,14.3,0.25,0.25,0.08,9.0,24
16,San Francisco,14.3,0.25,0.25,0.08,9.0,26
17,San Francisco,14.3,0.25,0.25,0.08,9.0,28
18,San Francisco,14.3,0.25,0.4,0.04,7.5,24
19,San Francisco,14.3,0.25,0.4,0.04,7.5,26
20,San Francisco,14.3,0.25,0.4,0.04,7.5,28
21,San Francisco,14.3,0.25,0.4,0.04,9.0,24
22,San Francisco,14.3,0.25,0.4,0.04,9.0,26
23,San Francisco,14.3,0.25,0.4,0.04,9.0,28
24,San Francisco,14.3,0.25,0.4,0.06,7.5,24
25,San Francisco,14.3,0.25,0.4,0.06,7.5,26
26,San Francisco,14.3,0.25,0.4,0.06,7.5,28
27,San Francisco,14.3,0.25,0.4,0.06,9.0,24
28,San Francisco,14.3,0.25,0.4,0.06,9.0,26
29,San Francisco,14.3,0.25,0.4,0.06,9.0,28
30,San Francisco,14.3,0.25,0.4,0.08,7.5,24
31,San Francisco,14.3,0.25,0.4,0.08,7.5,26
32,San Francisco,14.3,0.25,0.4,0.08,7.5,28
